type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,año_agregado
Movie,68 Kill,Trent Haaga,"Matthew Gray Gubler, AnnaLynne McCord, Alisha Boe, Sheila Vand, Sam Eidson, James Moses Black, Ajay Mehta, Michael Beasley, David Maldonado, Hallie Grace Bradley, Peter Jaymes Jr., Eric Podnar, Lucy Faust",United States,2019-09-01,2017,R,96 min,"Comedies, Independent Movies, Thrillers",2019.0
TV Show,7 (Seven),Nizar Shafi,"Rahman, Havish, Regina Cassandra, Nandita Swetha, Anisha Ambrose, Tridha Choudhury, Pujitha Ponnada, Aditi Arya",India,2019-07-30,2019,TV-14,1 Season,TV Shows,2019.0
Movie,7 Din Mohabbat In,"Meenu Gaur, Farjad Nabi","Mahira Khan, Sheheryar Munawar, Javed Sheikh, Hina Dilpazeer, Amna Ilyas, Mira Sethi, Rimal Ali, Salahuddin Tunio, Aamir Qureshi, Adnan Shah",Pakistan,2019-05-15,2018,TV-PG,137 min,"Comedies, International Movies, Music & Musicals",2019.0
TV Show,9 Months That Made You,Desconocido,Demetri Goritsas,United States,2017-03-01,2016,TV-PG,1 Season,"British TV Shows, Docuseries, Science & Nature TV",2017.0
Movie,A Bad Moms Christmas,"Jon Lucas, Scott Moore","Mila Kunis, Kristen Bell, Kathryn Hahn, Susan Sarandon, Christine Baranski, Jay Hernandez, Cheryl Hines, Peter Gallagher, Justin Hartley","United States, China",2020-02-14,2017,R,104 min,Comedies,2020.0
Movie,A Billion Colour Story,Padmakumar Narasimhamurthy,"Dhruva Padmakumar, Gaurav Sharma, Vasuki",India,2018-04-01,2016,TV-14,104 min,"Dramas, Independent Movies, International Movies",2018.0
Movie,A Boy Called Po,John Asher,"Christopher Gorham, Julian Feder, Kaitlin Doubleday, Andrew Bowen, Caitlin Carmichael, Sean Gunn, Bryan Batt, Fay Masterson, Brian George",United States,2018-01-15,2016,PG,94 min,"Dramas, Sci-Fi & Fantasy",2018.0
Movie,A Bridge Too Far,Richard Attenborough,"Dirk Bogarde, James Caan, Michael Caine, Sean Connery, Edward Fox, Elliott Gould, Gene Hackman, Anthony Hopkins, Hardy Krüger, Laurence Olivier, Ryan O'Neal, Robert Redford, Maximilian Schell, Liv Ullmann","United States, United Kingdom",2020-07-01,1977,PG,176 min,"Action & Adventure, Classic Movies, Dramas",2020.0
Movie,A Clockwork Orange,Stanley Kubrick,"Malcolm McDowell, Patrick Magee, Michael Bates, Warren Clarke, Adrienne Corri, Paul Farrell, Miriam Karlin, James Marcus","United Kingdom, United States",2020-11-01,1971,R,137 min,"Classic Movies, Cult Movies, Dramas",2020.0
Movie,A Dangerous Woman,Stephen Gyllenhaal,"Debra Winger, Barbara Hershey, Gabriel Byrne, Laurie Metcalf, John Terry, Maggie Gyllenhaal, Jake Gyllenhaal, Chloe Webb, David Strathairn",United States,2018-04-01,1993,R,101 min,"Dramas, Romantic Movies",2018.0
Movie,A Family Affair,Tom Fassaert,Tom Fassaert,"Netherlands, Denmark, South Africa",2016-10-16,2015,TV-PG,111 min,"Documentaries, International Movies",2016.0
Movie,A Family Man,Mark Williams,"Gerard Butler, Gretchen Mol, Alison Brie, Willem Dafoe, Alfred Molina, Maxwell Jenkins, Anupam Kher, Dustin Milligan","Canada, United States",2019-12-15,2016,R,110 min,Dramas,2019.0
Movie,A Flying Jatt,Remo D'Souza,"Tiger Shroff, Jacqueline Fernandez, Nathan Jones, Kay Kay Menon, Amrita Singh, Gaurav Pandey, Shraddha Kapoor, Amrita Puri",India,2017-11-15,2016,TV-14,142 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy",2017.0
Movie,A Glimpse Inside the Mind of Charles Swan III,Roman Coppola,"Charlie Sheen, Jason Schwartzman, Bill Murray, Katheryn Winnick, Patricia Arquette, Aubrey Plaza, Mary Elizabeth Winstead, Dermot Mulroney",United States,2018-07-15,2012,R,86 min,"Comedies, Independent Movies",2018.0
TV Show,A Good Wife,Desconocido,"Tien Hsin, Christopher Lee, Darren Chiu, Shara Lin, Blaire Chang, Xi Man-Ning, Chu De-Kang",Taiwan,2017-01-01,2013,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",2017.0
Movie,A Gray State,Erik Nelson,Sin reparto,United States,2017-12-25,2017,TV-MA,93 min,Documentaries,2017.0
Movie,A Haunted House,Michael Tiddes,"Marlon Wayans, Essence Atkins, Cedric the Entertainer, Nick Swardson, David Koechner, Dave Sheridan, Affion Crockett, J.B. Smoove, Andrew Daly, Alanna Ubach",United States,2020-02-21,2013,R,86 min,"Comedies, Horror Movies",2020.0
Movie,A Haunting at Silver Falls: The Return,Teo Konuralp,"Laura Flannery, James Cavlo, Harry Hains, Clemmie Dugdale, Dendrie Taylor, Bryan Chesters, Jennifer Dorogi, Adam Lazarre-White, Nikita Ramsey",United States,2019-09-17,2019,TV-14,80 min,"Horror Movies, Independent Movies",2019.0
Movie,A Holiday Engagement,Jim Fall,"Bonnie Somerville, Shelley Long, Jordan Bridges, Sam McMurray, Haylie Duff, Sam Horrigan, Carrie Wiita, Chris McKenna, Edi Patterson, Jennifer Elise Cox",United States,2019-11-04,2011,TV-G,92 min,"Children & Family Movies, Comedies, Romantic Movies",2019.0
Movie,A Kind of Murder,Andy Goddard,"Patrick Wilson, Jessica Biel, Vincent Kartheiser, Haley Bennett, Eddie Marsan, Jon Osbeck, Radek Lord, Christine Dye",United States,2017-05-01,2016,R,96 min,Thrillers,2017.0
Movie,A Leaf of Faith,Chris Bell,Sin reparto,United States,2018-08-27,2018,TV-MA,87 min,Documentaries,2018.0
TV Show,A Man Called God,Desconocido,"Song Il-gook, Han Chae-young, Kim Min-jong, Go Eun Han, Jung Hoon Lee, Nam Da-Reum, Yoo In-young",South Korea,2019-03-12,2010,TV-14,1 Season,"Crime TV Shows, International TV Shows, Korean TV Shows",2019.0
Movie,A Mission in an Old Movie,Ahmad El-Badri,"Edward, Fifi Abdo, Lotfy Labib, Madeleine Matar, Nahla Zaki, Ahmed Fathy, Said Tarabeek, Badriya Tolba, Eman El-Sayed",,2019-04-25,2012,TV-MA,98 min,"Comedies, International Movies",2019.0
Movie,A Most Violent Year,J.C. Chandor,"Oscar Isaac, Jessica Chastain, David Oyelowo, Albert Brooks, Elyes Gabel, Catalina Sandino Moreno, Christopher Abbott, Peter Gerety, Alessandro Nivola","United Arab Emirates, United States",2018-07-22,2014,R,125 min,"Dramas, Thrillers",2018.0
Movie,A Murder in the Park,"Christopher S. Rech, Brandon Kimber",Sin reparto,United States,2017-04-28,2014,PG-13,91 min,Documentaries,2017.0
Movie,A new Capitalism,Desconocido,Sin reparto,Brazil,2018-06-12,2017,TV-14,76 min,"Documentaries, International Movies",2018.0
Movie,A Night at the Roxbury,John Fortenberry,"Will Ferrell, Chris Kattan, Dan Hedaya, Molly Shannon, Richard Grieco, Loni Anderson, Elisa Donovan, Gigi Rice, Lochlyn Munro, Dwayne Hickman",United States,2019-12-01,1998,PG-13,82 min,"Comedies, Cult Movies",2019.0
Movie,A Noble Intention,Joram Lürsen,"Gijs Scholten van Aschat, Jacob Derwig, Rifka Lodeizen, Juda Goslinga, Zeb Troostwijk, Elisabeth Hesemans, Joosje Duk",Netherlands,2016-09-01,2015,TV-MA,111 min,"Dramas, International Movies",2016.0
Movie,A Patch of Fog,Michael Lennox,"Stephen Graham, Conleth Hill, Lara Pulver, Arsher Ali, Stuart Graham, Ian McElhinney",United Kingdom,2017-04-15,2015,TV-MA,92 min,"Dramas, Thrillers",2017.0
Movie,A Perfect Man,Kees Van Oostrum,"Liev Schreiber, Jeanne Tripplehorn, Joelle Carter, Louise Fletcher, Katie Carr, Renée Soutendijk, Huub Stapel, Michael Pas",United States,2019-06-06,2013,R,94 min,"Dramas, Independent Movies, Romantic Movies",2019.0
Movie,A Princess for Christmas,Michael Damian,"Katie McGrath, Sir Roger Moore, Sam Heughan, Travis Turner, Leilah de Meza, Miles Richardson, Charlotte Salt",United States,2020-08-28,2011,TV-PG,91 min,"Children & Family Movies, Dramas, Romantic Movies",2020.0
Movie,A Russell Peters Christmas,Henry Sarwer-Foner,"Russell Peters, Pamela Anderson, Michael Bublé, Jon Lovitz, Scott Thompson, Faizon Love, Goapele, Ted Lange",Canada,2013-11-01,2011,NR,44 min,Stand-Up Comedy,2013.0
Movie,A Scandall,Ishaan Trivedi,"Johnny Baweja, Reeth Mazumder, Manav Kaul, Tanvi Vyas, Puru Chibber, Vasundhara Kaul, Aayam Mehta, Niraj Sah",India,2017-10-15,2016,TV-MA,108 min,"International Movies, Thrillers",2017.0
Movie,A Separation,Asghar Farhadi,"Leila Hatami, Peyman Moaadi, Shahab Hosseini, Sareh Bayat, Sarina Farhadi, Babak Karimi, Ali-Asghar Shahbazi, Shirin Yazdanbakhsh, Kimia Hosseini, Merila Zare'i, Sahabanu Zolghadr","Iran, France",2019-03-16,2011,PG-13,123 min,"Dramas, International Movies",2019.0
Movie,A Serious Man,"Ethan Coen, Joel Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Adam Arkin, Amy Landecker, Alan Mandell, Fyvush Finkel, Peter Breitmayer, Aaron Wolff, Jessica McManus, Brent Braunschweig","United States, United Kingdom, France",2018-01-16,2009,R,106 min,"Comedies, Independent Movies",2018.0
Movie,A Sort of Homecoming,Maria Burton,"Laura Marano, Parker Mack, Katherine McNamara, Marcus Lyle Brown, Shayne Topp, Michelle Clunie, Kathleen Wilhoite",United States,2017-08-01,2015,TV-PG,89 min,"Dramas, Independent Movies",2017.0
Movie,A Tale of Love and Darkness,Natalie Portman,"Natalie Portman, Gilad Kahana, Amir Tessler, Moni Moshonov, Ohad Knoller, Makram Khoury, Neta Riskin, Alexander Peleg, Rotem Keinan, Tomer Kapon","Israel, United States",2019-10-25,2015,PG-13,98 min,"Dramas, International Movies",2019.0
Movie,A Thin Line Between Love & Hate,Martin Lawrence,"Martin Lawrence, Lynn Whitfield, Regina King, Bobby Brown, Della Reese, Daryl Mitchell, Roger Mosley, Malinda Williams, Roger E. Mosley, Simbi Khali, Tangie Ambrose, Wendy Raquel Robinson, Stacii Jae Johnson, Faizon Love, Miguel A. Núñez Jr., Tracy Morgan",United States,2020-12-01,1996,R,108 min,"Comedies, Romantic Movies",2020.0
Movie,A Thousand Words,Brian Robbins,"Eddie Murphy, Kerry Washington, Cliff Curtis, Clark Duke, Allison Janney, Ruby Dee, John Witherspoon, Jack McBrayer",United States,2020-07-01,2012,PG-13,92 min,Comedies,2020.0
Movie,A Walk to Remember,Adam Shankman,"Mandy Moore, Shane West, Peter Coyote, Daryl Hannah, Lauren German, Clayne Crawford, Al Thompson",United States,2020-07-01,2002,PG,102 min,"Dramas, Romantic Movies",2020.0
Movie,A Wednesday,Neeraj Pandey,"Anupam Kher, Naseeruddin Shah, Jimmy Shergill, Deepal Shaw, Aamir Bashir, Kali Prasad Mukherjee, Vijay Bhatia, Chetan Pandit",India,2018-11-01,2008,TV-MA,103 min,"Action & Adventure, Dramas, International Movies",2018.0
Movie,A Week in Watts,Gregory Caruso,Sin reparto,United States,2018-02-19,2017,TV-14,91 min,Documentaries,2018.0
Movie,A Wrinkle in Time,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson",United States,2018-09-25,2018,PG,110 min,Children & Family Movies,2018.0
TV Show,A Young Doctor's Notebook and Other Stories,Desconocido,"Daniel Radcliffe, Jon Hamm, Adam Godley, Christopher Godwin, Rosie Cavaliero, Vicki Pepperdine, Margaret Clunie, Tim Steed, Shaun Pye",United Kingdom,,2013,TV-MA,2 Seasons,"British TV Shows, TV Comedies, TV Dramas",
TV Show,A.D. Kingdom and Empire,Desconocido,"Juan Pablo Di Pace, Adam Levy, Chipo Chung, Babou Ceesay, Emmett Scanlan, Will Thorp, Richard Coyle, Vincent Regan, Greta Scacchi, James Callis, Joanne Whalley, Jodhi May, Chris Brazier, Fraser Ayres, Jóhannes Haukur Jóhannesson, Ken Bones, Kenneth Collard",United States,2017-12-15,2015,TV-14,1 Season,TV Dramas,2017.0
Movie,A.M.I.,Rusty Nixon,"Debs Howard, Philip Granger, Sam Robert Muik, Havana Guppy, Bonnie Hay, Veronica Hampson, Lori Triolo, Andrew Coghlan, Laura Mitchell, Elinet Louicius",Canada,2020-10-01,2019,TV-MA,77 min,Horror Movies,2020.0
Movie,A.X.L.,Oliver Daly,"Alex Neustaedter, Becky G., Alex MacNicoll, Dominic Rains, Thomas Jane, Lou Taylor Pucci, Patricia De Leon, Niko Guardado, Ted McGinley, Marie-Françoise Theodore, Eric Etebari, Dorian Kingi",United States,2019-03-20,2018,PG,99 min,"Action & Adventure, Children & Family Movies, Independent Movies",2019.0
Movie,Aşk Tesadüfleri Sever,Ömer Faruk Sorak,"Mehmet Günsür, Belçim Bilgin, Ayda Aksel, Altan Erkekli, Sebnem Sönmez, Hüseyin Avni Danyal, Berna Konur, Ümit Bülent Dinçer",Turkey,2018-04-04,2011,TV-MA,122 min,"Dramas, International Movies, Romantic Movies",2018.0
Movie,Aadu 2,Midhun Manuel Thomas,"Jayasurya, Vinayakan, Sunny Wayne, Vijay Babu, Saiju Kurup, Vineeth Mohan, Unni Rajan P. Dev, Dharmajan Bolgatty, Indrans",India,2018-05-15,2017,TV-MA,150 min,"Comedies, International Movies",2018.0
Movie,Aajcha Divas Majha,Chandrakant Kulkarni,"Sachin Khedekar, Ashwini Bhave, Mahesh Manjrekar, Hrishikesh Joshi, Satish Alekar, Sunil Tawde, Pushkar Shrotri, Anand Ingle",India,2018-01-01,2013,TV-PG,126 min,"Comedies, Dramas, International Movies",2018.0
Movie,Aarakshan,Prakash Jha,"Amitabh Bachchan, Saif Ali Khan, Manoj Bajpayee, Deepika Padukone, Prateik, Tanvi Azmi, Saurabh Shukla, Darshan Jariwala, Yashpal Sharma, Mukesh Tiwari",India,2019-12-31,2011,TV-14,164 min,"Dramas, International Movies",2019.0
Movie,Aashayein,Nagesh Kukunoor,"John Abraham, Sonal Sehgal, Prateeksha Lonkar, Girish Karnad, Farida Jalal, Ashwin Chitale, Anaitha Nair, Vikram Inamdar, Vipin Bhali, Poonam Chitale, Nagesh Kukunoor",India,2017-10-22,2010,TV-14,115 min,"Dramas, International Movies",2017.0
Movie,Aata Pita,Uttung Shelar,"Sanjay Narvekar, Bharat Jadhav, Satish Phulekar, Ashwini Apte",India,2018-01-01,2010,TV-14,133 min,"Comedies, Dramas, International Movies",2018.0
Movie,Abby Sen,Atanu Ghosh,"Abir Chatterjee, Raima Sen, Arunima Ghosh, Priyanka Sarkar, Sujan Mukherjee, Kanchan Mullick, Biswanath Basu, Bhaswar Chatterjee, Swagata Basu, Tuhin Mitra, Paran Banerjee, Kharaj Mukherjee, Chiranjit",India,2017-05-01,2015,TV-PG,127 min,"Comedies, Dramas, International Movies",2017.0
Movie,Abdo Mota,Desconocido,Mohamed Ramadan,Egypt,2019-04-19,2012,TV-MA,100 min,"Action & Adventure, Dramas, International Movies",2019.0
Movie,Abhinetri,A. L. Vijay,"Tamannaah Bhatia, Prabhu Deva, Sonu Sood, Sapthagiri, Murli Sharma, R.V. Udhaykumar, Joy Mathew, Hema",India,2018-05-01,2016,TV-14,131 min,"Comedies, International Movies, Sci-Fi & Fantasy",2018.0
TV Show,Abnormal Summit,"Jung-ah Im, Seung-uk Jo","Hyun-moo Jun, Si-kyung Sung, Se-yoon Yoo",South Korea,,2017,TV-PG,2 Seasons,"International TV Shows, Korean TV Shows, Stand-Up Comedy & Talk Shows",
Movie,Abominable Christmas,Chad Van De Keere,"Isabella Acres, Drake Bell, Emilio Estevez, Nolan Gould, Matthew Lillard, Ray Liotta, Jane Lynch, Ariel Winter",United States,2016-02-18,2012,TV-Y7,44 min,"Children & Family Movies, Comedies",2016.0
Movie,About a Boy,"Chris Weitz, Paul Weitz","Nicholas Hoult, Toni Collette, Victoria Smurfit, Sharon Small, Natalia Tena, Isabel Brook, Hugh Grant, Rachel Weisz, Nicholas Hutchison","United Kingdom, United States, France, Germany",2019-02-01,2002,PG-13,101 min,"Comedies, Dramas, International Movies",2019.0
Movie,Abzurdah,Daniela Goggi,"Eugenia Suárez, Esteban Lamothe, Gloria Carrá, Rafael Spregelburd, Tomás Ottaviano, Julieta Gullo, Zoe Hochbaum, Lucia Carolina Pecrul",Argentina,2016-08-25,2015,TV-MA,90 min,"Dramas, International Movies",2016.0
Movie,Acapulco La vida va,Alfonso Serrano Maturino,"Patricio Castillo, Sergio Bustamante, Alejandro Suárez, Luz María Jerez, Bob Isaacs, Tere Monroy",Mexico,2017-06-03,2016,TV-MA,89 min,"Comedies, Dramas, International Movies",2017.0
Movie,Across The Line,Julien Christian Lutz,"Sarah Jeffery, Simon Paul Mutuyimana, Denis Theriault, Jeremiah Sparks, Steven Love, Cara Ricketts, Jim Codrington, Shamier Anderson, Stephan James, Lanette Ware, Hugh Thompson",Canada,2019-04-01,2015,TV-MA,88 min,"Dramas, Sports Movies",2019.0
Movie,Across the Universe,Julie Taymor,"Evan Rachel Wood, Jim Sturgess, Joe Anderson, Dana Fuchs, Martin Luther, James Urbaniak, T.V. Carpio, Spencer Liff","United States, United Kingdom",2019-01-01,2007,PG-13,133 min,"Dramas, Music & Musicals, Romantic Movies",2019.0
Movie,Act of Valor,"Mike McCoy, Scott Waugh","Keo Woolford, Drea Castro, Emilio Rivera, Rorke Denver, Jason Cottle, Ailsa Marshall, Alex Veadov, Dave, Roselyn Sanchez, Thomas Rosales Jr., Nestor Serrano, Gonzalo Menendez",United States,2020-06-01,2012,R,110 min,Action & Adventure,2020.0
Movie,Act of Vengeance,Mahsun Kırmızıgül,"Haluk Bilginer, Mahsun Kırmızıgül, Mustafa Sandal, Gina Gershon, Robert Patrick, Danny Glover, Engin Altan Düzyatan, Scott William Winters, Sharrieff Pugh","Turkey, United States",2018-09-29,2010,NR,112 min,"Action & Adventure, International Movies",2018.0
Movie,Acts of Violence,Brett Donowho,"Cole Hauser, Bruce Willis, Shawn Ashmore, Ashton Holmes, Melissa Bolona, Patrick St. Esprit, Sophia Bush, Mike Epps",Canada,2020-08-01,2018,R,87 min,Action & Adventure,2020.0
TV Show,Adam Ruins Everything,Desconocido,"Adam Conover, Adam Lustick, Emily Axford",United States,2018-09-30,2018,TV-14,1 Season,TV Comedies,2018.0
Movie,Addicted to Life,Thierry Donard,"Antoine Bizet, Jesse Richman, Karsten Gefle, Wille Lindberg, Matahi Drollet, Mathias Wyss, Matt Annetts",France,2020-06-12,2014,TV-14,91 min,"Action & Adventure, Documentaries, International Movies",2020.0
Movie,Adore,Anne Fontaine,"Naomi Watts, Robin Wright, Xavier Samuel, James Frecheville, Ben Mendelsohn, Jessica Tovey, Sophie Lowe, Gary Sweet, Alyson Standen, Skye Sutherland, Sarah Henderson","Australia, France",2019-11-20,2013,R,111 min,"Dramas, Independent Movies, International Movies",2019.0
Movie,Adrishya,Sandeep Chatterjee,"Ravi Kumar, Ayesha Singh, Nishat Mallick, Archana Kotwal, Rakesh Chaturvedi Om, Nidhi Mahavan, Abhijit Sinha, Abdur Rehman",India,2019-12-31,2017,TV-14,99 min,"Horror Movies, Independent Movies, International Movies",2019.0
Movie,Adventures in Public School,Kyle Rideout,"Daniel Doheny, Judy Greer, Siobhan Williams, Russell Peters, Grace Park, Andrew McNee, Alex Barima, Andrew Herr, Eva Day, Josh Epstein","Canada, United States",2018-08-15,2018,NR,86 min,Comedies,2018.0
TV Show,Africa,Desconocido,David Attenborough,United Kingdom,2016-04-28,2013,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",2016.0
Movie,After Porn Ends,Bryce Wagoner,Sin reparto,United States,2019-05-27,2012,NR,93 min,Documentaries,2019.0
Movie,After Porn Ends 3,Brittany Andrews,Sin reparto,United States,2018-12-30,2018,TV-MA,87 min,Documentaries,2018.0
Movie,Afterschool,Antonio Campos,"Ezra Miller, Addison Timlin, Jeremy Allen White, Michael Stuhlbarg, Emory Cohen, David Costabile, Rosemarie DeWitt, Dariusz M. Uczkowski, Gary Wilmes, Paul Sparks, Alexandra Neil, Lee Wilkof",United States,2020-08-13,2008,TV-MA,107 min,"Dramas, Independent Movies",2020.0
Movie,Aftershock,Nicolás López,"Eli Roth, Andrea Osvárt, Ariel Levy, Natasha Yarovenko, Nicolás Martínez, Lorenza Izzo, Marcial Tagle, Ramón Llao, Ignacia Allamand, Paz Bascuñán","United States, Chile",2018-03-07,2012,R,89 min,"Action & Adventure, Horror Movies",2018.0
Movie,Agatha and the Truth of Murder,Terry Loane,"Ruth Bradley, Pippa Haywood, Dean Andrews, Bebe Cave, Blake Harrison, Tim McInnerny, Ralph Ineson, Michael McElhatton",United Kingdom,2019-01-31,2018,TV-MA,92 min,Dramas,2019.0
TV Show,Age Gap Love,Desconocido,Fay Ripley,United Kingdom,2019-07-12,2017,TV-MA,1 Season,"British TV Shows, Reality TV, Romantic TV Shows",2019.0
TV Show,Age of Glory,Desconocido,"Debbie Goh, Aenie Wong, Frederick Lee, Leslie Chai",,2017-08-14,2010,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Dramas",2017.0
TV Show,Agent Raghav,Desconocido,"Sharad Kelkar, Aahana Kumra, Mahesh Manjrekar, Deepali Pansare, Danish Pandor, Jason Tham, Reena Aggarwal, Swati Rajput",India,2017-04-15,2015,TV-14,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",2017.0
Movie,Ahista Ahista,Shivam Nair,"Abhay Deol, Soha Ali Khan, Shayan Munshi, Kamini Khanna, Sohrab Ardeshir, Murad Ali, Shakeel Khan, Natasha Sinha, Brijendra Kala",India,2019-12-31,2006,TV-14,122 min,"Dramas, International Movies, Romantic Movies",2019.0
Movie,Ai Weiwei: Never Sorry,Alison Klayman,"Ai Weiwei, Lao Ai",United States,2018-03-01,2012,R,91 min,Documentaries,2018.0
TV Show,Ainsley Eats the Streets,Desconocido,Ainsley Harriott,United Kingdom,2019-07-12,2014,TV-PG,1 Season,"British TV Shows, Docuseries, International TV Shows",2019.0
Movie,Aisa Yeh Jahaan,Biswajeet Bora,"Palash Sen, Ira Dubey, Yashpal Sharma, Tinnu Anand, Prisha Dabbas, Kymsleen Kholie, Satish Sharma",India,2017-10-15,2015,TV-14,127 min,"Dramas, Independent Movies, International Movies",2017.0
Movie,Aitraaz,"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla","Akshay Kumar, Kareena Kapoor, Priyanka Chopra, Amrish Puri, Paresh Rawal, Annu Kapoor",India,2018-03-01,2004,TV-14,153 min,"International Movies, Music & Musicals, Romantic Movies",2018.0
Movie,Alarmoty in the Land of Fire,Desconocido,Sin reparto,Egypt,2019-08-05,2017,TV-MA,94 min,"Comedies, International Movies",2019.0
Movie,Albion: The Enchanted Stallion,Castille Landon,"Daniel Sharman, Jennifer Morrison, Debra Messing, Stephen Dorff, John Cleese, Liam McIntyre, Richard Kind, Avery Arendes, Castille Landon","United States, Bulgaria",2017-07-01,2016,TV-PG,106 min,Children & Family Movies,2017.0
